日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-12-26,=4657.2400,=6866.8400,=67518806164814.7500,=51827913766170,=24443263663923.3281,=14.1443,=0.8457,=13.9651,=12.4705,=11.6389
2025-12-25,=4642.5400,=6845.1600,=67460297719564.2422,=51807039160526,=24372980999088.9453,=14.1321,=0.8399,=13.9633,=12.4693,=11.6389
2025-12-24,=4634.0600,=6831.5100,=67369470361370.0078,=51713541071970,=24327590022259.3008,=14.1130,=0.8349,=13.9633,=12.4693,=11.6389
2025-12-23,=4620.7300,=6811.7700,=67271083320891.5703,=51615831604136,=24256787234572.3945,=14.0924,=0.8275,=13.9633,=12.4693,=11.6389
2025-12-22,=4611.6200,=6798.1200,=67072371496352.9063,=51467276900074,=24206442928427.2383,=14.0508,=0.8184,=13.9633,=12.4693,=11.6389
2025-12-19,=4568.1800,=6734.0700,=66654938444363.2813,=51049077395321,=23993032392831.0313,=13.9633,=0.7996,=13.9651,=12.4705,=11.6389
2025-12-18,=4552.7900,=6707.3200,=66622554012864.5781,=50995191912303,=23916529994793.8906,=13.9566,=0.7974,=13.9651,=12.4693,=11.6389
2025-12-17,=4579.8800,=6745.7800,=66624556141683.7109,=51084784891057,=24047177544422.8281,=13.9570,=0.7983,=13.9651,=12.4693,=11.6389
2025-12-16,=4497.5500,=6623.3900,=65709385703325.6016,=50322361427938,=23628945856296.3711,=13.7653,=0.7744,=13.9651,=12.4693,=11.6389
2025-12-15,=4552.0600,=6703.6000,=66308719023929.7891,=50802026620129,=23906703369493.9883,=13.8908,=0.7913,=13.9651,=12.4693,=11.6389
2025-12-12,=4580.9500,=6743.9900,=65943750326733.8516,=50662624772190,=23630134616877.8594,=13.9067,=0.7930,=13.9651,=12.4705,=11.6389
2025-12-11,=4552.1800,=6700.7100,=65807088988516.4688,=50555073365677,=23486825143330.6094,=13.8779,=0.7900,=13.9651,=12.4693,=11.6389
2025-12-10,=4591.8300,=6758.1800,=66245414871784.7734,=50871873151291,=23693175194160.6719,=13.9703,=0.8016,=13.9651,=12.4693,=11.6389
2025-12-09,=4598.2200,=6767.6000,=66535957493850.5234,=51080419574339,=23735089131467.6094,=14.0316,=0.8135,=13.9618,=12.4693,=11.6389
2025-12-08,=4621.7500,=6802.1300,=66757494143982.2266,=51236995944334,=23845771854851.3086,=14.0783,=0.8242,=13.9597,=12.4693,=11.6389
2025-12-05,=4584.5400,=6747.3600,=66465232792848.0938,=50948058758598,=23654844399736.7383,=14.0167,=0.8115,=13.9593,=12.4705,=11.6389
2025-12-04,=4546.5700,=6691.4700,=66168633101481.0391,=50687461391813,=23464672462550.9766,=13.9542,=0.7991,=13.9568,=12.4693,=11.6389
2025-12-03,=4531.0500,=6668.6200,=66070867461594.1875,=50600958284518,=23385666303784.0938,=13.9335,=0.7966,=13.9568,=12.4693,=11.6389
2025-12-02,=4554.3300,=6702.8900,=66464006605035.3672,=50853400297667,=23509702687258.2930,=14.0164,=0.8114,=13.9568,=12.4693,=11.6389
2025-12-01,=4576.4900,=6735.4900,=66634100225401.1563,=51003617135622,=23620077875180.7109,=14.0523,=0.8189,=13.9549,=12.4693,=11.6389
2025-11-28,=4526.6600,=6662.1600,=66104197315215.1563,=50532678470092,=23366994085711.9180,=13.9406,=0.7984,=13.9498,=12.4705,=11.6389
2025-11-27,=4515.4000,=6645.4100,=66124425730004.9688,=50505688423594,=23313186045393.8945,=13.9448,=0.7995,=13.9498,=12.4693,=11.6389
2025-11-26,=4517.6300,=6648.6800,=66010111035915.5625,=50397096944761,=23325791708398.1797,=13.9207,=0.7983,=13.9498,=12.4693,=11.6389
2025-11-25,=4490.4000,=6608.5400,=66000969331487.9922,=50315504250127,=23188759328547.2305,=13.9188,=0.7979,=13.9498,=12.4693,=11.6389
2025-11-24,=4448.0500,=6546.0600,=65465562119921.5469,=49909421024928,=22971380790515.9297,=13.8059,=0.7859,=13.9498,=12.4693,=11.6389
2025-11-21,=4453.6100,=6554.0400,=65768589181664.4063,=50114787185017,=23003892100039.0391,=13.8698,=0.7938,=13.9498,=12.4705,=11.6389
2025-11-20,=4564.9500,=6717.6200,=67038832167852.6484,=51187762063478,=23575475169504.2656,=14.1377,=0.8431,=13.9498,=12.4693,=11.6389
2025-11-19,=4588.2900,=6750.9600,=67141258034992.7031,=51373367469146,=23687760669108.0039,=14.1593,=0.8489,=13.9437,=12.4693,=11.6389
2025-11-18,=4568.1900,=6721.3900,=66646742012285.1016,=51030796314719,=23581610474195.0781,=14.0550,=0.8201,=13.9412,=12.4693,=11.6389
2025-11-17,=4598.0500,=6764.1200,=67021686803326.0938,=51344708823496,=23732347136844.2813,=14.1341,=0.8427,=13.9401,=12.4693,=11.6389
2025-11-14,=4628.1400,=6808.3100,=67505135983255.6016,=51693839483449,=23890196499925.3555,=14.2360,=0.8634,=13.9189,=12.4705,=11.6389
2025-11-13,=4702.0700,=6917.0200,=68303043366507.7188,=52397806190047,=24264321543914.5859,=14.4057,=0.8905,=13.9015,=12.4693,=11.6389
2025-11-12,=4645.9100,=6834.4000,=67850195931660.7734,=51975419361136,=23983622395137.3906,=14.3102,=0.8757,=13.8959,=12.4693,=11.6389
2025-11-11,=4652.1700,=6843.1800,=67663126072008.5078,=51879302508728,=24013280824723.7656,=14.2707,=0.8699,=13.8943,=12.4693,=11.6389
2025-11-10,=4695.0500,=6906.2600,=68098554767365.3438,=52263387784462,=24232002791953.8203,=14.3625,=0.8851,=13.8943,=12.4693,=11.6389
2025-11-07,=4678.7900,=6881.4600,=67722811234548.1094,=52010211116613,=24150854732819.9922,=14.2833,=0.8724,=13.8959,=12.4705,=11.6389
2025-11-06,=4693.4000,=6902.6600,=67933444525188.5313,=52180249283523,=24230652752176.4844,=14.3277,=0.8790,=13.8943,=12.4693,=11.6389
2025-11-05,=4627.2600,=6805.3800,=67225794915439.6328,=51583866215672,=23898167730216.9063,=14.1785,=0.8555,=13.8871,=12.4693,=11.6389
2025-11-04,=4618.7000,=6792.6800,=67182464598730.7422,=51512330032261,=23854991470650.0898,=14.1693,=0.8547,=13.8852,=12.4693,=11.6389
2025-11-03,=4653.4000,=6843.6000,=67335617151459.6719,=51722235796496,=24023183104697.5781,=14.2016,=0.8604,=13.8847,=12.4693,=11.6389
2025-10-31,=4640.6700,=6824.4300,=66913524842156.1016,=51457553372342,=23950181515467.1094,=14.1126,=0.8403,=13.8812,=12.4705,=11.6389
2025-10-30,=4709.9100,=6926.2600,=67822678353906.5313,=52209397083054,=24275595840456.0664,=14.4925,=0.9045,=13.8763,=12.4693,=11.6389
2025-10-29,=4747.8400,=6981.9600,=68228019811125.9063,=52556101588688,=24457575400831.0703,=14.6135,=0.9177,=13.8761,=12.4693,=11.6389
2025-10-28,=4691.9700,=6899.5300,=67776900628416.4063,=52107072518999,=24061515892484.1094,=14.6234,=0.9185,=13.8745,=12.4693,=11.6389
2025-10-27,=4716.0200,=6934.0100,=67988344763749.1797,=52266367025188,=24160059129561.1094,=14.6905,=0.9263,=13.8680,=12.4693,=11.6389
2025-10-24,=4660.6800,=6852.3100,=67223370150509.0781,=51614650635991,=23890149063003.3828,=14.5553,=0.9115,=13.8667,=12.4705,=11.6389
2025-10-23,=4606.3400,=6767.2100,=66727677269186.8438,=51178958243985,=23612004442819.3281,=14.4595,=0.9028,=13.8643,=12.4693,=11.6389
2025-10-22,=4592.5700,=6746.8700,=66440233986512.2266,=50996470952820,=23538265844904.7500,=14.3989,=0.8921,=13.8558,=12.4693,=11.6389
