日期,="基金净值(单位: 元)"
2025-12-26,=1.8698
2025-12-25,=1.8642
2025-12-24,=1.8605
2025-12-23,=1.8553
2025-12-22,=1.8518
2025-12-19,=1.8353
2025-12-18,=1.8284
2025-12-17,=1.8384
2025-12-16,=1.8064
2025-12-15,=1.8273
2025-12-12,=1.8379
2025-12-11,=1.8268
2025-12-10,=1.8416
2025-12-09,=1.8442
2025-12-08,=1.8533
2025-12-05,=1.8391
2025-12-04,=1.8245
2025-12-03,=1.8186
2025-12-02,=1.8275
2025-12-01,=1.8359
2025-11-28,=1.8169
2025-11-27,=1.8126
2025-11-26,=1.8134
2025-11-25,=1.8029
2025-11-24,=1.7868
2025-11-21,=1.7888
2025-11-20,=1.8311
2025-11-19,=1.8397
2025-11-18,=1.8320
2025-11-17,=1.8430
2025-11-14,=1.8546
2025-11-13,=1.8826
2025-11-12,=1.8613
2025-11-11,=1.8636
2025-11-10,=1.8798
2025-11-07,=1.8735
2025-11-06,=1.8790
2025-11-05,=1.8538
2025-11-04,=1.8504
2025-11-03,=1.8636
2025-10-31,=1.8588
2025-10-30,=1.8850
2025-10-29,=1.8993
2025-10-28,=1.8781
2025-10-27,=1.8867
2025-10-24,=1.8656
2025-10-23,=1.8436
2025-10-22,=1.8384
2025-10-21,=1.8442
2025-10-20,=1.8176
2025-10-17,=1.8086
2025-10-16,=1.8477
2025-10-15,=1.8426
2025-10-14,=1.8168
2025-10-13,=1.8377
2025-10-10,=1.8462
2025-10-09,=1.8812
2025-09-30,=1.8551
2025-09-29,=1.8469
2025-09-26,=1.8203
2025-09-25,=1.8365
2025-09-24,=1.8258
2025-09-23,=1.8079
2025-09-22,=1.8091
2025-09-19,=1.8014
2025-09-18,=1.7996
2025-09-17,=1.8199
2025-09-16,=1.8092
2025-09-15,=1.8125
2025-09-12,=1.8085
2025-09-11,=1.8180
2025-09-10,=1.7794
2025-09-09,=1.7758
2025-09-08,=1.7878
2025-09-05,=1.7849
2025-09-04,=1.7485
2025-09-03,=1.7845
2025-09-02,=1.7963
2025-09-01,=1.8089
2025-08-29,=1.7987
2025-08-28,=1.7853
2025-08-27,=1.7563
2025-08-26,=1.7813
2025-08-25,=1.7873
2025-08-22,=1.7526
2025-08-21,=1.7182
2025-08-20,=1.7118
