日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-12-26,=9018.1400,=12449.9200,=2960667539455.1597,=2943217393391,=1324482094409.3999,=18.7678,=0.0576,=37.9949,=29.6859,=21.0552
2025-12-25,=9087.3400,=12545.4600,=2970970500835.9395,=2953278375722,=1328974654004.8896,=18.8332,=0.0609,=37.9949,=29.6940,=21.0651
2025-12-24,=8962.0900,=12372.5500,=2937693365093.8105,=2920237449775,=1314314976241.6702,=18.6222,=0.0457,=37.9949,=29.6940,=21.0678
2025-12-23,=8996.1100,=12419.5100,=2951568375038.9102,=2933972104829,=1320229852708.1299,=18.7102,=0.0515,=37.9949,=29.6940,=21.0781
2025-12-22,=9059.5900,=12507.1500,=2960738999500.0601,=2942905523074,=1324311728675.7402,=18.7683,=0.0568,=37.9949,=29.6940,=21.0958
2025-12-19,=9077.6100,=12532.0300,=2965496246312.3896,=2947708651363,=1326490988747.1799,=18.7985,=0.0568,=37.9949,=29.6859,=21.0982
2025-12-18,=9042.0700,=12450.8000,=2984959925092.4399,=2967281319769,=1335700411511.8401,=18.9218,=0.0646,=37.9949,=29.6940,=21.1096
2025-12-17,=9111.8000,=12503.5500,=3002975473724.2598,=2985061479104,=1343579518268.9397,=19.0360,=0.0729,=37.9949,=29.6940,=21.1096
2025-12-16,=9124.5100,=12521,=2990668344112.1504,=2972634393054,=1338022140269.7195,=18.9580,=0.0667,=37.9949,=29.6940,=21.1096
2025-12-15,=9144.8200,=12548.8700,=2996421005167.4199,=2978341241677,=1340489401562.2600,=18.9945,=0.0679,=37.9949,=29.6940,=21.1096
2025-12-12,=9092.8600,=12477.5600,=2987893565954.3696,=2969964840121,=1336789368110.1802,=18.9396,=0.0658,=37.9949,=29.6859,=21.0982
2025-12-11,=9048.1200,=12416.1700,=2974181174387.7002,=2956025765158,=1330129085461.3501,=18.8527,=0.0605,=37.9949,=29.6940,=21.1096
2025-12-10,=9111.2500,=12502.8100,=2969735974109.2397,=2951281662011,=1328085525661.9900,=18.8246,=0.0585,=37.9949,=29.6940,=21.1096
2025-12-09,=9054.8000,=12425.3400,=2959905065292.3296,=2941411263682,=1323437817097.9802,=18.7622,=0.0560,=37.9949,=29.6940,=21.1096
2025-12-08,=9195.0500,=12617.7900,=3002450440922.2900,=2983504853704,=1342481030900.1997,=19.0319,=0.0708,=37.9949,=29.6940,=21.1096
2025-12-05,=9295.5400,=12755.6900,=3032843970290.2300,=3013636841151,=1355939937842.8198,=19.2246,=0.0823,=37.9949,=29.6859,=21.0982
2025-12-04,=9235.7900,=12673.7000,=3017708204052.6401,=2998684609217,=1349211065814.7798,=19.1286,=0.0766,=37.9949,=29.6940,=21.1096
2025-12-03,=9426.0500,=12934.7800,=3050193127134.1704,=3030853116564,=1363210883691.4102,=19.3346,=0.0881,=37.9949,=29.6940,=21.1096
2025-12-02,=9563.7600,=13123.7600,=3078179494424.2798,=3057877292333,=1374676415668.0801,=19.5120,=0.0943,=37.9949,=29.6940,=21.1096
