日期,="基金净值(单位: 元)"
2025-12-26,=0.7297
2025-12-25,=0.7349
2025-12-24,=0.7255
2025-12-23,=0.7283
2025-12-22,=0.7330
2025-12-19,=0.7345
2025-12-18,=0.7301
2025-12-17,=0.7330
2025-12-16,=0.7337
2025-12-15,=0.7352
2025-12-12,=0.7319
2025-12-11,=0.7289
2025-12-10,=0.7332
2025-12-09,=0.7292
2025-12-08,=0.7400
2025-12-05,=0.7479
2025-12-04,=0.7435
2025-12-03,=0.7579
2025-12-02,=0.7684
2025-12-01,=0.7777
2025-11-28,=0.7786
2025-11-27,=0.7780
2025-11-26,=0.7769
2025-11-25,=0.7757
2025-11-24,=0.7755
2025-11-21,=0.7791
2025-11-20,=0.7869
2025-11-19,=0.7881
2025-11-18,=0.7950
2025-11-17,=0.7970
2025-11-14,=0.7962
2025-11-13,=0.8086
2025-11-12,=0.8024
2025-11-11,=0.8040
2025-11-10,=0.8051
2025-11-07,=0.7686
2025-11-06,=0.7709
2025-11-05,=0.7712
2025-11-04,=0.7760
2025-11-03,=0.7855
2025-10-31,=0.7829
2025-10-30,=0.7703
2025-10-29,=0.7681
2025-10-28,=0.7732
2025-10-27,=0.7707
2025-10-24,=0.7715
2025-10-23,=0.7873
2025-10-22,=0.7815
2025-10-21,=0.7842
2025-10-20,=0.7845
2025-10-17,=0.7885
2025-10-16,=0.8007
2025-10-15,=0.7897
2025-10-14,=0.7846
2025-10-13,=0.7643
2025-10-10,=0.7723
2025-10-09,=0.7759
2025-09-30,=0.7844
2025-09-29,=0.7904
2025-09-26,=0.7755
2025-09-25,=0.7807
2025-09-24,=0.7886
2025-09-23,=0.7885
2025-09-22,=0.7946
2025-09-19,=0.8056
2025-09-18,=0.8038
2025-09-17,=0.8187
2025-09-16,=0.8264
2025-09-15,=0.8269
2025-09-12,=0.8286
2025-09-11,=0.8380
2025-09-10,=0.8331
2025-09-09,=0.8334
2025-09-08,=0.8315
2025-09-05,=0.8175
2025-09-04,=0.8106
2025-09-03,=0.8142
2025-09-02,=0.8237
2025-09-01,=0.8248
2025-08-29,=0.8277
2025-08-28,=0.8079
2025-08-27,=0.8115
2025-08-26,=0.8389
2025-08-25,=0.8367
2025-08-22,=0.8038
2025-08-21,=0.7986
2025-08-20,=0.8059
2025-08-19,=0.7879
2025-08-18,=0.7723
2025-08-15,=0.7685
2025-08-14,=0.7671
2025-08-13,=0.7676
2025-08-12,=0.7681
2025-08-11,=0.7710
2025-08-08,=0.7528
2025-08-07,=0.7573
2025-08-06,=0.7563
2025-08-05,=0.7553
2025-08-04,=0.7462
2025-08-01,=0.7462
2025-07-31,=0.7458
2025-07-30,=0.7642
2025-07-29,=0.7581
2025-07-28,=0.7592
2025-07-25,=0.7622
2025-07-24,=0.7774
2025-07-23,=0.7729
2025-07-22,=0.7767
2025-07-21,=0.7533
2025-07-18,=0.7558
2025-07-17,=0.7425
2025-07-16,=0.7412
2025-07-15,=0.7349
2025-07-14,=0.7443
2025-07-11,=0.7427
2025-07-10,=0.7383
2025-07-09,=0.7320
2025-07-08,=0.7286
2025-07-07,=0.7218
2025-07-04,=0.7246
2025-07-03,=0.7235
2025-07-02,=0.7218
2025-07-01,=0.7176
2025-06-30,=0.7223
2025-06-27,=0.7177
2025-06-26,=0.7245
2025-06-25,=0.7235
2025-06-24,=0.7221
2025-06-23,=0.7162
2025-06-20,=0.7257
2025-06-19,=0.7105
2025-06-18,=0.7142
2025-06-17,=0.7096
2025-06-16,=0.7084
2025-06-13,=0.7073
2025-06-12,=0.7261
2025-06-11,=0.7374
2025-06-10,=0.7352
2025-06-09,=0.7417
2025-06-06,=0.7469
2025-06-05,=0.7475
2025-06-04,=0.7426
2025-06-03,=0.7430
2025-05-30,=0.7505
2025-05-29,=0.7599
2025-05-28,=0.7586
2025-05-27,=0.7602
2025-05-26,=0.7604
2025-05-23,=0.7693
2025-05-22,=0.7745
2025-05-21,=0.7791
2025-05-20,=0.7807
2025-05-19,=0.7815
2025-05-16,=0.7948
2025-05-15,=0.8058
2025-05-14,=0.8147
2025-05-13,=0.7995
2025-05-12,=0.8021
2025-05-09,=0.7975
2025-05-08,=0.7990
2025-05-07,=0.7928
2025-05-06,=0.7900
2025-04-30,=0.7856
2025-04-29,=0.7850
2025-04-28,=0.7995
2025-04-25,=0.8006
2025-04-24,=0.8025
2025-04-23,=0.8078
2025-04-22,=0.8116
2025-04-21,=0.8108
2025-04-18,=0.8206
2025-04-17,=0.8266
2025-04-16,=0.8200
2025-04-15,=0.8176
2025-04-14,=0.8162
2025-04-11,=0.8250
2025-04-10,=0.8339
2025-04-09,=0.8318
2025-04-08,=0.8186
2025-04-07,=0.7984
2025-04-03,=0.8326
2025-04-02,=0.8203
2025-04-01,=0.8228
2025-03-31,=0.8224
2025-03-28,=0.8349
2025-03-27,=0.8414
2025-03-26,=0.8334
2025-03-25,=0.8334
2025-03-24,=0.8348
2025-03-21,=0.8355
2025-03-20,=0.8459
2025-03-19,=0.8614
2025-03-18,=0.8701
2025-03-17,=0.8767
2025-03-14,=0.8765
2025-03-13,=0.8366
2025-03-12,=0.8383
2025-03-11,=0.8475
2025-03-10,=0.8245
2025-03-07,=0.8237
2025-03-06,=0.8072
2025-03-05,=0.7929
2025-03-04,=0.7920
2025-03-03,=0.8018
2025-02-28,=0.8124
2025-02-27,=0.8147
2025-02-26,=0.7956
2025-02-25,=0.7871
2025-02-24,=0.8014
2025-02-21,=0.7901
2025-02-20,=0.7839
2025-02-19,=0.7862
2025-02-18,=0.7824
2025-02-17,=0.7921
2025-02-14,=0.7886
2025-02-13,=0.7909
2025-02-12,=0.7651
2025-02-11,=0.7544
2025-02-10,=0.7625
2025-02-07,=0.7614
2025-02-06,=0.7520
2025-02-05,=0.7479
2025-01-27,=0.7609
2025-01-24,=0.7635
2025-01-23,=0.7670
2025-01-22,=0.7655
2025-01-21,=0.7796
2025-01-20,=0.7861
2025-01-17,=0.7773
2025-01-16,=0.7724
2025-01-15,=0.7783
2025-01-14,=0.7807
2025-01-13,=0.7592
2025-01-10,=0.7513
2025-01-09,=0.7639
2025-01-08,=0.7605
2025-01-07,=0.7641
2025-01-06,=0.7613
2025-01-03,=0.7826
2025-01-02,=0.7907
2024-12-31,=0.8125
2024-12-30,=0.8151
2024-12-27,=0.8234
2024-12-26,=0.8224
2024-12-25,=0.8238
2024-12-24,=0.8270
2024-12-23,=0.8215
2024-12-20,=0.8307
2024-12-19,=0.8296
2024-12-18,=0.8433
2024-12-17,=0.8454
2024-12-16,=0.8438
2024-12-13,=0.8610
2024-12-12,=0.8926
2024-12-11,=0.8732
2024-12-10,=0.8694
2024-12-09,=0.8526
2024-12-06,=0.8536
2024-12-05,=0.8472
2024-12-04,=0.8506
2024-12-03,=0.8581
2024-12-02,=0.8622
2024-11-29,=0.8588
2024-11-28,=0.8483
2024-11-27,=0.8575
2024-11-26,=0.8449
2024-11-25,=0.8397
2024-11-22,=0.8400
2024-11-21,=0.8698
2024-11-20,=0.8723
2024-11-19,=0.8670
2024-11-18,=0.8703
2024-11-15,=0.8839
2024-11-14,=0.8955
2024-11-13,=0.9052
2024-11-12,=0.9054
2024-11-11,=0.9116
2024-11-08,=0.9174
2024-11-07,=0.9391
2024-11-06,=0.8711
2024-11-05,=0.8744
2024-11-04,=0.8524
2024-11-01,=0.8425
2024-10-31,=0.8313
2024-10-30,=0.8361
2024-10-29,=0.8512
2024-10-28,=0.8718
2024-10-25,=0.8483
2024-10-24,=0.8410
2024-10-23,=0.8590
2024-10-22,=0.8462
2024-10-21,=0.8336
2024-10-18,=0.8310
2024-10-17,=0.8055
2024-10-16,=0.8241
2024-10-15,=0.8328
2024-10-14,=0.8624
2024-10-11,=0.8549
2024-10-10,=0.8841
2024-10-09,=0.8719
2024-10-08,=0.9538
2024-09-30,=0.9306
2024-09-27,=0.8566
2024-09-26,=0.7900
2024-09-25,=0.7229
2024-09-24,=0.7186
2024-09-23,=0.6782
2024-09-20,=0.6737
2024-09-19,=0.6724
2024-09-18,=0.6564
2024-09-13,=0.6635
2024-09-12,=0.6790
2024-09-11,=0.6961
2024-09-10,=0.6994
2024-09-09,=0.6977
2024-09-06,=0.7099
2024-09-05,=0.7217
2024-09-04,=0.7191
2024-09-03,=0.7251
2024-09-02,=0.7168
2024-08-30,=0.7462
2024-08-29,=0.7215
2024-08-28,=0.7051
2024-08-27,=0.7264
2024-08-26,=0.7294
2024-08-23,=0.7358
2024-08-22,=0.7344
2024-08-21,=0.7458
2024-08-20,=0.7501
2024-08-19,=0.7568
2024-08-16,=0.7605
2024-08-15,=0.7639
2024-08-14,=0.7603
2024-08-13,=0.7699
2024-08-12,=0.7795
2024-08-09,=0.7837
2024-08-08,=0.7879
2024-08-07,=0.7755
2024-08-06,=0.7680
2024-08-05,=0.7644
2024-08-02,=0.7522
2024-08-01,=0.7556
2024-07-31,=0.7764
2024-07-30,=0.7526
2024-07-29,=0.7547
2024-07-26,=0.7695
2024-07-25,=0.7701
2024-07-24,=0.7712
2024-07-23,=0.7802
2024-07-22,=0.8138
2024-07-19,=0.8331
2024-07-18,=0.8189
2024-07-17,=0.8183
2024-07-16,=0.7978
2024-07-15,=0.8008
2024-07-12,=0.8027
2024-07-11,=0.7958
2024-07-10,=0.7771
2024-07-09,=0.7777
2024-07-08,=0.7705
2024-07-05,=0.7891
2024-07-04,=0.7991
2024-07-03,=0.8096
2024-07-02,=0.8171
2024-07-01,=0.8048
2024-06-28,=0.8095
2024-06-27,=0.8261
2024-06-26,=0.8363
2024-06-25,=0.8340
2024-06-24,=0.8348
2024-06-21,=0.8317
2024-06-20,=0.8455
2024-06-19,=0.8549
2024-06-18,=0.8568
2024-06-17,=0.8694
2024-06-14,=0.8704
2024-06-13,=0.8643
2024-06-12,=0.8760
2024-06-11,=0.8774
2024-06-07,=0.8976
2024-06-06,=0.9099
2024-06-05,=0.9193
2024-06-04,=0.9293
2024-06-03,=0.9205
2024-05-31,=0.9233
2024-05-30,=0.9223
2024-05-29,=0.9352
2024-05-28,=0.9383
2024-05-27,=0.9472
2024-05-24,=0.9479
2024-05-23,=0.9609
2024-05-22,=0.9730
2024-05-21,=0.9835
2024-05-20,=0.9876
2024-05-17,=0.9833
2024-05-16,=0.9698
2024-05-15,=0.9592
2024-05-14,=0.9634
2024-05-13,=0.9605
2024-05-10,=0.9809
2024-05-09,=0.9870
2024-05-08,=0.9864
2024-05-07,=0.9973
2024-05-06,=0.9929
2024-04-30,=0.9621
2024-04-29,=0.9641
2024-04-26,=0.9576
2024-04-25,=0.9375
2024-04-24,=0.9420
2024-04-23,=0.9392
2024-04-22,=0.9257
2024-04-19,=0.9078
2024-04-18,=0.9202
2024-04-17,=0.9198
2024-04-16,=0.9190
2024-04-15,=0.9352
2024-04-12,=0.9035
2024-04-11,=0.9175
2024-04-10,=0.9185
2024-04-09,=0.9320
2024-04-08,=0.9329
2024-04-03,=0.9711
2024-04-02,=0.9728
2024-04-01,=0.9780
2024-03-29,=0.9515
2024-03-28,=0.9534
2024-03-27,=0.9531
2024-03-26,=0.9664
2024-03-25,=0.9508
2024-03-22,=0.9604
2024-03-21,=0.9798
2024-03-20,=0.9756
2024-03-19,=0.9812
2024-03-18,=0.9678
2024-03-15,=0.9674
2024-03-14,=0.9638
2024-03-13,=0.9646
2024-03-12,=0.9702
2024-03-11,=0.9260
2024-03-08,=0.9032
2024-03-07,=0.9093
2024-03-06,=0.9113
2024-03-05,=0.9246
2024-03-04,=0.9141
2024-03-01,=0.9239
2024-02-29,=0.9207
2024-02-28,=0.9000
2024-02-27,=0.9079
2024-02-26,=0.9082
2024-02-23,=0.9191
2024-02-22,=0.9163
2024-02-21,=0.9132
2024-02-20,=0.8728
2024-02-19,=0.8825
2024-02-08,=0.8803
2024-02-07,=0.8822
2024-02-06,=0.8639
2024-02-05,=0.8282
2024-02-02,=0.8231
2024-02-01,=0.8278
2024-01-31,=0.8252
2024-01-30,=0.8361
2024-01-29,=0.8656
2024-01-26,=0.8607
